Date,Open,High,Low,Close,Adj Close,Volume
2011-04-29,7.166667,7.226667,7.138333,7.222500,7.056961,8448000
2011-05-02,7.333333,7.333333,7.130833,7.168333,7.004034,12330000
2011-05-03,7.137500,7.170833,6.990000,7.096667,6.934011,11628000
2011-05-04,7.090833,7.094167,6.859167,6.957500,6.798034,13032000
2011-05-05,6.836667,6.971667,6.672500,6.776667,6.621345,17252400
2011-05-06,6.968333,7.070000,6.775833,6.848333,6.691368,15606000
2011-05-09,6.865000,6.989167,6.821667,6.944167,6.785007,7682400
2011-05-10,7.005833,7.149167,6.977500,7.118333,6.955180,9333600
2011-05-11,7.082500,7.082500,6.791667,6.884167,6.726382,15681600
2011-05-12,6.830833,7.025000,6.727500,6.984167,6.824090,12322800
2011-05-13,6.999167,7.023333,6.752500,6.815000,6.658800,12408000
2011-05-16,6.735833,6.908333,6.658333,6.693333,6.539921,9990000
2011-05-17,6.611667,6.713333,6.529167,6.693333,6.539921,12016800
2011-05-18,6.694167,6.885000,6.655000,6.874167,6.716610,8738400
2011-05-19,6.930833,6.966667,6.805833,6.919167,6.760580,9922800
2011-05-20,6.860000,6.887500,6.715000,6.750833,6.596104,12195600
2011-05-23,6.500000,6.574167,6.444167,6.513333,6.364045,13200000
2011-05-24,6.574167,6.613333,6.460833,6.504167,6.355092,10000800
2011-05-25,6.421667,6.643333,6.414167,6.562500,6.412086,10006800
2011-05-26,6.511667,6.687500,6.472500,6.642500,6.490252,14811600
2011-05-27,6.704167,6.782500,6.682500,6.727500,6.573305,9873600
2011-05-31,6.915833,6.939167,6.778333,6.938333,6.779305,11524800
2011-06-01,6.872500,6.889167,6.453333,6.482500,6.333922,22568400
2011-06-02,6.483333,6.523333,6.335833,6.446667,6.298909,13520400
2011-06-03,6.212500,6.402500,6.207500,6.261667,6.118149,16669200
2011-06-06,6.213333,6.247500,6.034167,6.055000,5.916219,13174800
2011-06-07,6.157500,6.201667,6.034167,6.040833,5.902377,11677200
2011-06-08,6.020000,6.076667,5.935000,5.969167,5.832353,16479600
2011-06-09,6.016667,6.176667,5.975833,6.095000,5.955301,9673200
2011-06-10,6.017500,6.038333,5.800000,5.850000,5.715918,24510000
2011-06-13,5.885833,5.932500,5.775000,5.860000,5.725688,12325200
2011-06-14,6.020000,6.145000,6.016667,6.083333,5.943903,14002800
2011-06-15,5.929167,5.984167,5.714167,5.759167,5.627166,27715200
2011-06-16,5.768333,5.887500,5.665000,5.789167,5.656480,21332400
2011-06-17,5.971667,5.971667,5.791667,5.846667,5.712661,17715600
2011-06-20,5.790833,5.974167,5.784167,5.943333,5.807111,16059600
2011-06-21,6.032500,6.216667,6.006667,6.179167,6.037539,17446800
